outer_fold,held_out_doi,repetition,selected_p,mae_p4,mae_p5,mae_p6
11,10.1149/1.1466857,8,4,0.01194473110513581,0.017358339906765788,0.02395582033737669
11,10.1149/1.1466857,9,4,0.0074471246377818155,0.012178200222339718,0.01765228995934481
11,10.1149/1.1466857,10,4,0.006633771515459592,0.009048197132949456,0.011220064311808685
11,10.1149/1.1466857,11,4,0.011996025656561979,0.01566839828033886,0.019091513991976554
11,10.1149/1.1466857,12,4,0.009974051309141682,0.014938075824525837,0.02042700347853198
11,10.1149/1.1466857,13,4,0.009363056723831255,0.012355752718181692,0.015979940180886176
11,10.1149/1.1466857,14,4,0.009105926797945493,0.010373553007931482,0.012068461640722943
11,10.1149/1.1466857,15,4,0.010990975993587263,0.012544176253843622,0.014686740436907828
11,10.1149/1.1466857,16,4,0.009398683857525061,0.011013046687820558,0.01248817696363499
11,10.1149/1.1466857,17,4,0.011558372675578894,0.013226622032709058,0.015958566542187334
11,10.1149/1.1466857,18,4,0.011590586060832563,0.013388623256376783,0.01584516821361688
11,10.1149/1.1466857,19,4,0.008928568604754201,0.010691211371835723,0.013300831274948847
12,10.1149/1.1513556,0,4,0.00878870167189348,0.011102904345032668,0.013348239132685416
12,10.1149/1.1513556,1,4,0.011635399972413522,0.01512925771391571,0.019774169506087094
12,10.1149/1.1513556,2,4,0.007846480433302742,0.009140593632695692,0.010907472552790025
12,10.1149/1.1513556,3,4,0.012057347267884539,0.017499367193414394,0.024088284405510123
12,10.1149/1.1513556,4,4,0.010135068936569203,0.01214375758567561,0.015301319515182881
12,10.1149/1.1513556,5,4,0.008847235539390137,0.012769525107462385,0.016601050622596317
12,10.1149/1.1513556,6,4,0.017097760628756894,0.021642731888986504,0.028717207269148445
12,10.1149/1.1513556,7,4,0.013318189661516685,0.017096473235434232,0.022039511892377628
12,10.1149/1.1513556,8,4,0.010127016488959447,0.011704469180518378,0.013833741014282733
12,10.1149/1.1513556,9,4,0.0082986488232223,0.011650229924790263,0.015249688362488452
12,10.1149/1.1513556,10,4,0.01155781070670376,0.015756862518922485,0.02238096438305376
12,10.1149/1.1513556,11,4,0.01000630961614287,0.011485674362599146,0.013617055932171567
12,10.1149/1.1513556,12,4,0.01027046244288284,0.011515541133358252,0.014529962924127783
12,10.1149/1.1513556,13,4,0.00946167498928746,0.01621934971435152,0.022297181737381377
12,10.1149/1.1513556,14,4,0.008652794847828353,0.012071433657316074,0.014833137368182302
12,10.1149/1.1513556,15,4,0.010966276286288249,0.011981491549727571,0.013355622521960648
12,10.1149/1.1513556,16,4,0.010839501962314238,0.012378445180153594,0.015309546417482854
12,10.1149/1.1513556,17,4,0.009330799113940115,0.011603795234420297,0.014090861534821647
12,10.1149/1.1513556,18,4,0.008228616413124555,0.011125737513627046,0.013767008994374198
12,10.1149/1.1513556,19,4,0.011878701491568543,0.01724374205339441,0.02247717419511693
13,10.1149/1.1527939,0,4,0.006919112347278274,0.00954202940804152,0.01213987625385852
13,10.1149/1.1527939,1,4,0.009157410473650183,0.012825271044229375,0.017042546248994185
13,10.1149/1.1527939,2,4,0.007468257648401681,0.010212923044861632,0.012632577869734346
13,10.1149/1.1527939,3,4,0.010279982546919314,0.011927497505383487,0.013989503141601812
